query,google_place_url,business_name,business_domain,business_phone,type,sub_types,category,full_address,borough,street,city,postal_code,state,country,country_code,timezone,lat,lon,review_url,reviews_id,total_reviews,average_rating,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,working_hours,about,description,logo_url,photos_count,photo_url,street_view,price_range,business_status,is_verified,owner_title,owner_link,owner_id,reserving_table_links,booking_appointment_link,place_id,google_id,place_cid
schools near los angeles,https://www.google.com/maps?cid=9202705118242045600,Downtown Value School,dvs.valueschools.com, (213) 748-8868,School,"School, Elementary school, Kindergarten, Middle school",School,"950 W Washington Blvd #547, Los Angeles, CA 90015",University Park,950 W Washington Blvd #547,Los Angeles,90015,California,United States,US,America/Los_Angeles,34.0372956,-118.27946829999999,https://search.google.com/local/reviews?placeid=ChIJx_xFIevHwoARoH58CYyTtn8&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,9202705118242045600,13,3.8,"{1: 3, 2: 0, 3: 0, 4: 3, 5: 7}",3,0,0,3,7,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,9,https://lh5.googleusercontent.com/p/AF1QipNo0RIkPrbJyQkzm4InApXr2AvFYO3aoeQ46EnB=w1600-h1000-k-no,,,Operational,False,Downtown Value School (Owner),,,,,ChIJx_xFIevHwoARoH58CYyTtn8,0x80c2c7eb2145fcc7:0x7fb6938c097c7ea0,9202705118242045600
schools near los angeles,https://www.google.com/maps?cid=16338705658674938299,Los Angeles High School,lahigh.org, (323) 900-2700,High school,"High school, Book store, Public educational institution, School",High school,"4650 W Olympic Blvd, Los Angeles, CA 90019",Mid City,4650 W Olympic Blvd,Los Angeles,90019,California,United States,US,America/Los_Angeles,34.055933599999996,-118.3331381,https://search.google.com/local/reviews?placeid=ChIJNdBmPPC4woARuwH8-jq-vuI&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-2108038415034613317,103,4.1,"{1: 12, 2: 5, 3: 8, 4: 14, 5: 64}",12,5,8,14,64,"{'Friday': '7:30AM–4:30PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '7:30AM–4:30PM', 'Tuesday': '7:30AM–4:30PM', 'Wednesday': '7:30AM–4:30PM', 'Thursday': '7:30AM–4:30PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,32,https://lh5.googleusercontent.com/p/AF1QipOXn9c1u_nGMzxJULyokKqK8XKbjoKk9LGIs9vN=w1600-h1000-k-no,,,Operational,False,Los Angeles High School (Owner),,,,,ChIJNdBmPPC4woARuwH8-jq-vuI,0x80c2b8f03c66d035:0xe2bebe3afafc01bb,16338705658674938299
schools near los angeles,https://www.google.com/maps?cid=13016036135737081703,Collegiate Charter High School of Los Angeles,collegiatecharterhighschooloflosangeles.org, (213) 304-7077,High school,"High school, Special education school",High school,"725 S Indiana St, Los Angeles, CA 90023",Boyle Heights,725 S Indiana St,Los Angeles,90023,California,United States,US,America/Los_Angeles,34.027001999999996,-118.19492729999999,https://search.google.com/local/reviews?placeid=ChIJIVzofWDPwoARZ79BTuc_orQ&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-5430707937972469913,14,3.2,"{1: 5, 2: 1, 3: 1, 4: 0, 5: 7}",5,1,1,0,7,,{'accessibility': {'Wheelchair accessible parking lot': True}},,,,,,,Operational,False,Collegiate Charter High School of Los Angeles (Owner),,,,,ChIJIVzofWDPwoARZ79BTuc_orQ,0x80c2cf607de85c21:0xb4a23fe74e41bf67,13016036135737081703
schools near los angeles,https://www.google.com/maps?cid=3224943777856654906,Los Angeles Leadership Academy,laleadership.org, (213) 381-8484,School,"School, Charter school, Elementary school",School,"2670 Griffin Ave, Los Angeles, CA 90031",Lincoln Heights,2670 Griffin Ave,Los Angeles,90031,California,United States,US,America/Los_Angeles,34.0785674,-118.2114972,https://search.google.com/local/reviews?placeid=ChIJR1c0hYPGwoAROo7Ai0dNwSw&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,3224943777856654906,32,3.6,"{1: 8, 2: 1, 3: 2, 4: 6, 5: 15}",8,1,2,6,15,"{'Friday': '8AM–4PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '8AM–4PM', 'Tuesday': '8AM–4PM', 'Wednesday': '8AM–4PM', 'Thursday': '8AM–4PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,2,https://lh5.googleusercontent.com/p/AF1QipNlnXn1QhG3cobYQ4AjqJ68QHgPPzRVw1KlyeZP=w1600-h1000-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0T2abxBs_wvSnWKvVF105Q&cb_client=search.gws-prod.gps&w=1000&h=768&yaw=98.47305&pitch=0&thumbfov=100,,Operational,False,Los Angeles Leadership Academy (Owner),,,,,ChIJR1c0hYPGwoAROo7Ai0dNwSw,0x80c2c68385345747:0x2cc14d478bc08e3a,3224943777856654906
schools near los angeles,https://www.google.com/maps?cid=17499841543859188862,Los Angeles Center for Enriched Studies (LACES),lacesmagnetschool.org, (323) 549-5900,High school,"High school, Middle school, School",High school,"5931 W 18th St, Los Angeles, CA 90035",Mid City,5931 W 18th St,Los Angeles,90035,California,United States,US,America/Los_Angeles,34.043845999999995,-118.37157579999999,https://search.google.com/local/reviews?placeid=ChIJKUqM63K5woARfrRZfyrt2_I&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-946902529850362754,41,4.1,"{1: 7, 2: 1, 3: 1, 4: 3, 5: 29}",7,1,1,3,29,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,12,https://lh5.googleusercontent.com/p/AF1QipN1MDPyHeq7Rs_XcOSX7gYVm29_W5MsBgkdUQ4B=w1600-h1000-k-no,https://lh5.googleusercontent.com/p/AF1QipN2j8-bIpeYiL2jQu9ZKvAL8U0O4eIu1abG8gWJ=w80-h92-k-no-pi-20-ya301-ro-0-fo100,,Operational,False,Los Angeles Center for Enriched Studies (LACES) (Owner),,,,,ChIJKUqM63K5woARfrRZfyrt2_I,0x80c2b972eb8c4a29:0xf2dbed2a7f59b47e,17499841543859188862
schools near los angeles,https://www.google.com/maps?cid=5749888758767609881,New Horizon School - Los Angeles,newhorizonla.org, (213) 480-3145,Religious school,"Religious school, Elementary school, Kindergarten, Preschool",Religious school,"434 Vermont Ave, Los Angeles, CA 90020",Rampart Village,434 Vermont Ave,Los Angeles,90020,California,United States,US,America/Los_Angeles,34.0664143,-118.291309,https://search.google.com/local/reviews?placeid=ChIJ141VzGTHwoARGehapFy1y08&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,5749888758767609881,8,4.6,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 7}",0,1,0,0,7,"{'Friday': '7:45AM–5:30PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '7:45AM–5:30PM', 'Tuesday': '7:45AM–5:30PM', 'Wednesday': '7:45AM–5:30PM', 'Thursday': '7:45AM–5:30PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,https://lh6.googleusercontent.com/--NhFXEBNDoA/AAAAAAAAAAI/AAAAAAAAAAA/5TahQfhYcEM/s44-p-k-no-ns-nd/photo.jpg,14,https://lh5.googleusercontent.com/p/AF1QipOl_Qdvm5w8V0wbVhXm3tG0FvBesi0Tv8XqBMSo=w1600-h1000-k-no,,,Operational,True,New Horizon School - Los Angeles (Owner),https://www.google.com/maps/contrib/109474670723081795516,109474670723081795516,,,ChIJ141VzGTHwoARGehapFy1y08,0x80c2c764cc558dd7:0x4fcbb55ca45ae819,5749888758767609881
schools near los angeles,https://www.google.com/maps?cid=3178856235834361350,Pilgrim School,pilgrim-school.org, (213) 385-7351,School,"School, Children's camp, Middle school, Private educational institution",School,"540 S Commonwealth Ave, Los Angeles, CA 90020",Rampart Village,540 S Commonwealth Ave,Los Angeles,90020,California,United States,US,America/Los_Angeles,34.0644974,-118.28489839999999,https://search.google.com/local/reviews?placeid=ChIJ2W4-8HDHwoARBkbxeOeQHSw&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,3178856235834361350,10,4.7,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 9}",0,1,0,0,9,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,8,https://lh5.googleusercontent.com/p/AF1QipOcwmwFJ9i5OSZ4q6UtfCR8TMcDn0grT_hwJ2ky=w1600-h1000-k-no,,,Operational,False,Pilgrim School (Owner),,,,,ChIJ2W4-8HDHwoARBkbxeOeQHSw,0x80c2c770f03e6ed9:0x2c1d90e778f14606,3178856235834361350
schools near los angeles,https://www.google.com/maps?cid=698691931596510237,Los Angeles Elementary School,laes-lausd-ca.schoolloop.com, (323) 734-8233,Elementary school,"Elementary school, Middle school",Elementary school,"1211 S Hobart Blvd, Los Angeles, CA 90006",Mid City,1211 S Hobart Blvd,Los Angeles,90006,California,United States,US,America/Los_Angeles,34.0476826,-118.305646,https://search.google.com/local/reviews?placeid=ChIJhQZBHHy4woARHdQ9JpxAsgk&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,698691931596510237,32,3.4,"{1: 10, 2: 1, 3: 3, 4: 1, 5: 17}",10,1,3,1,17,"{'Friday': '7:30AM–4PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '7:30AM–4PM', 'Tuesday': '7:30AM–4PM', 'Wednesday': '7:30AM–4PM', 'Thursday': '7:30AM–4PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,Los Angeles Elementary School (Owner),,,,,ChIJhQZBHHy4woARHdQ9JpxAsgk,0x80c2b87c1c410685:0x9b2409c263dd41d,698691931596510237
schools near los angeles,https://www.google.com/maps?cid=6486267399809369940,Futures Academy - Brentwood,futures.edu, (866) 994-7157,High school,"High school, Learning center, Middle school, Private educational institution",High school,"12300 Wilshire Blvd # 110, Los Angeles, CA 90025",Sawtelle,12300 Wilshire Blvd # 110,Los Angeles,90025,California,United States,US,America/Los_Angeles,34.042339999999996,-118.4691057,https://search.google.com/local/reviews?placeid=ChIJ2YjCVFu7woARVIfVm9XZA1o&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,6486267399809369940,8,4.6,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 6}",0,0,1,1,6,"{'Friday': '8AM–6PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '8AM–6PM', 'Tuesday': '8AM–6PM', 'Wednesday': '8AM–6PM', 'Thursday': '8AM–6PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,2,https://lh5.googleusercontent.com/p/AF1QipP6sgpdT0XmjFrt096THRQ7q3DoAz53DH4v5Eo=w1600-h1000-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9f6FYxYbQiuJafPofRm_Rw&cb_client=search.gws-prod.gps&w=1000&h=768&yaw=183.90593&pitch=0&thumbfov=100,,Operational,False,Futures Academy - Brentwood (Owner),,,,,ChIJ2YjCVFu7woARVIfVm9XZA1o,0x80c2bb5b54c288d9:0x5a03d9d59bd58754,6486267399809369940
schools near los angeles,https://www.google.com/maps?cid=16337665691245740278,Wadsworth Ave Elementary School,schoolloop.com, (323) 232-5234,Elementary school,"Elementary school, Public educational institution, School",Elementary school,"981 E 41st St, Los Angeles, CA 90011",South Los Angeles,981 E 41st St,Los Angeles,90011,California,United States,US,America/Los_Angeles,34.0096819,-118.2585045,https://search.google.com/local/reviews?placeid=ChIJ9yTHhWPIwoAR9gDKsWIMu-I&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-2109078382463811338,18,4.1,"{1: 3, 2: 1, 3: 0, 4: 1, 5: 13}",3,1,0,1,13,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,Wadsworth Ave Elementary School (Owner),,,,,ChIJ9yTHhWPIwoAR9gDKsWIMu-I,0x80c2c86385c724f7:0xe2bb0c62b1ca00f6,16337665691245740278
schools near los angeles,https://www.google.com/maps?cid=2778140572740016296,Great Public Schools Now,gpsnla.org, (213) 452-2800,High school,"High school, Elementary school, Middle school",High school,"At&t Center, 1150 S Olive St, Los Angeles, CA 90015",South Park,"At&t Center, 1150 S Olive St",Los Angeles,90015,California,United States,US,America/Los_Angeles,34.039544,-118.26182519999999,,2778140572740016296,,,,,,,,,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,Great Public Schools Now (Owner),,,,,ChIJAQDA48jHwoARqNhEtiHwjSY,0x80c2c7c8e3c00001:0x268df021b644d8a8,2778140572740016296
schools near los angeles,https://www.google.com/maps?cid=3963093665189214440,Early College Academy,schoolloop.com, (213) 763-3685,High school,High school,High school,"SA, 400 W Washington Blvd, Los Angeles, CA 90015",South Los Angeles,"SA, 400 W Washington Blvd",Los Angeles,90015,California,United States,US,America/Los_Angeles,34.032436499999996,-118.2689152,https://search.google.com/local/reviews?placeid=ChIJAQBAm8THwoAR6Dg07bC8_zY&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,3963093665189214440,4,4.0,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 3}",1,0,0,0,3,"{'Friday': '8AM–3:15PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '8AM–3:15PM', 'Tuesday': '8AM–3:15PM', 'Wednesday': '8AM–3:15PM', 'Thursday': '8AM–3:15PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,Early College Academy (Owner),,,,,ChIJAQBAm8THwoAR6Dg07bC8_zY,0x80c2c7c49b400001:0x36ffbcb0ed3438e8,3963093665189214440
schools near los angeles,https://www.google.com/maps?cid=16160974453211354941,San Pedro Street Elementary School,lausd.net, (213) 747-9538,Elementary school,"Elementary school, Public educational institution, School",Elementary school,"1635 San Pedro St, Los Angeles, CA 90015",Fashion District,1635 San Pedro St,Los Angeles,90015,California,United States,US,America/Los_Angeles,34.028942,-118.25773299999999,https://search.google.com/local/reviews?placeid=ChIJOTGHidPHwoARPVfTA6RQR-A&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-2285769620498196675,15,4.7,"{1: 0, 2: 1, 3: 0, 4: 1, 5: 13}",0,1,0,1,13,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,2,https://lh5.googleusercontent.com/p/AF1QipPDFg5b_hSSGtwQd9Uj4po7P8TFJId61JWH_m09=w1600-h1000-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3UbRvn-S4QBY747IgaKGdQ&cb_client=search.gws-prod.gps&w=1000&h=768&yaw=178.23337&pitch=0&thumbfov=100,,Operational,False,San Pedro Street Elementary School (Owner),,,,,ChIJOTGHidPHwoARPVfTA6RQR-A,0x80c2c7d389873139:0xe04750a403d3573d,16160974453211354941
